Location, Number,Date On,Date Off,Time (hr.),mg/m3 *,ppb *,Âµg NO2
,,,,,,,
Prishtine 1,637516 **,14/12/2015,07/01/2016,577.70,77.80,40.61,3.27
Prishtine 2,637514,14/12/2015,06/01/2016,551.15,47.59,24.84,1.91
Prishtine 3,637515,14/12/2015,06/01/2016,558.93,39.91,20.83,1.62
Prishtine 4,637513,14/12/2015,07/01/2016,577.83,39.22,20.47,1.65
Prishtine 6,637506,15/12/2015,07/01/2016,554.18,51.19,26.72,2.06
Prishtine 7,637505 **,15/12/2015,06/01/2016,523.07,101.65,53.05,3.86
Kacanik 1,637518,19/12/2015,10/01/2016,530.62,20.51,10.70,0.79
Kacanik 2,637522,19/12/2015,10/01/2016,528.33,25.38,13.25,0.97
Kacanik 3,637519,19/12/2015,10/01/2016,526.00,38.46,20.07,1.47
Kacanik 5,637521,19/12/2015,10/01/2016,526.83,25.68,13.40,0.98
Prishtine 14,637495 **,13/12/2015,06/01/2016,582.00,94.34,49.24,3.99
Prishtine 15,637494,13/12/2015,07/01/2016,594.12,59.03,30.81,2.55
Prishtine 16,637496,13/12/2015,07/01/2016,593.47,64.58,33.71,2.79
Prishtine 17,637493 **,13/12/2015,07/01/2016,593.00,107.61,56.16,4.64
Prishtine 18,637500 **,13/12/2015,07/01/2016,592.08,111.58,58.23,4.80
Banje e Pejes 1,637498,13/12/2015,04/01/2016,528.00,12.52,6.53,0.48
Drenas 1,637512,13/12/2015,10/01/2016,672.33,14.57,7.60,0.71
Drenas 2,637511,13/12/2015,10/01/2016,671.50,15.34,8.01,0.75
Drenas 3,637510,13/12/2015,10/01/2016,670.30,18.82,9.82,0.92
Drenas 4,637508,13/12/2015,10/01/2016,669.25,21.91,11.44,1.07
Drenas 5,637509,13/12/2015,10/01/2016,670.00,27.84,14.53,1.36
Lipjan 1,637532,13/12/2015,07/01/2016,601.45,26.59,13.88,1.16
Lipjan 2,637531,13/12/2015,07/01/2016,600.78,38.73,20.21,1.69
Lipjan 5,637530,13/12/2015,07/01/2016,599.92,32.37,16.90,1.41
Plementina 1,637523,13/12/2015,03/01/2016,507.75,18.60,9.71,0.69
Plementina 2,637524,13/12/2015,03/01/2016,507.17,18.26,9.53,0.67
Plementina 4,637526,13/12/2015,03/01/2016,505.55,20.90,10.91,0.77
